Player,Nation,Pos,Age,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,ChallengesTkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Pedro Porro,es ESP,DF,25.57,38.3,76,65,38,26,12,53,96,55.2,43,63,23,40,48,119,107,2
Dejan Kulusevski,se SWE,"MF,FW",24.96,33.9,44,29,18,12,14,17,51,33.3,34,27,3,24,18,57,9,1
Son Heung-min,kr KOR,FW,32.76,33.0,19,13,4,8,7,6,26,23.1,20,14,1,13,6,25,18,2
Archie Gray,eng ENG,"DF,MF",19.08,30.6,26,22,14,7,5,15,28,53.6,13,36,20,16,26,42,69,3
Dominic Solanke,eng ENG,FW,27.57,30.1,24,17,2,17,5,5,16,31.3,11,18,7,11,4,26,27,0
Brennan Johnson,wls WAL,FW,23.88,29.0,42,29,11,21,10,17,33,51.5,16,24,3,21,5,46,16,0
James Maddison,eng ENG,MF,28.38,26.6,33,23,9,16,8,10,30,33.3,20,21,4,17,17,49,22,1
Pape Matar Sarr,sn SEN,MF,22.57,25.9,53,43,19,27,7,12,32,37.5,20,24,9,15,29,79,21,1
Rodrigo Bentancur,uy URU,MF,27.79,25.2,51,35,25,24,2,24,51,47.1,27,37,15,22,51,95,51,2
Destiny Udogie,it ITA,DF,22.36,24.4,82,54,46,29,7,37,50,74.0,13,44,6,38,27,106,41,1
Radu Drăgușin,ro ROU,DF,23.18,24.2,14,11,10,4,0,9,18,50.0,9,34,24,10,25,35,80,6
Guglielmo Vicario,it ITA,GK,28.51,24.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,16,2
Lucas Bergvall,se SWE,MF,19.18,22.5,54,39,20,23,11,26,45,57.8,19,23,9,14,35,86,27,3
Yves Bissouma,ml MLI,MF,28.61,22.1,55,51,23,28,4,25,42,59.5,17,10,6,4,32,77,43,4
Djed Spence,eng ENG,DF,24.67,20.6,40,36,22,13,5,18,25,72.0,7,24,8,16,24,58,57,1
Ben Davies,wls WAL,DF,31.96,18.4,15,12,8,7,0,9,16,56.3,7,21,15,6,16,28,92,2
Cristian Romero,ar ARG,DF,26.95,16.8,36,30,26,9,1,21,31,67.7,10,21,5,16,21,57,57,2
Fraser Forster,eng ENG,GK,37.07,13.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,10,4
Micky van de Ven,nl NED,DF,23.97,12.4,13,9,5,6,2,10,16,62.5,6,13,6,7,10,23,37,1
Timo Werner,de GER,"FW,MF",29.10,10.6,6,4,3,3,0,3,16,18.8,13,12,1,11,2,8,9,0
Antonín Kinský,cz CZE,GK,22.08,8.3,3,2,3,0,0,1,1,100.0,0,0,0,0,0,3,5,1
Mikey Moore,eng ENG,"FW,MF",17.66,7.1,1,3,0,1,0,0,2,0.0,2,2,0,2,1,2,1,0
Kevin Danso,at AUT,DF,26.56,6.9,5,5,2,3,0,4,6,66.7,2,5,5,0,4,8,34,1
Wilson Odobert,fr FRA,FW,20.36,6.6,9,3,4,4,1,5,10,50.0,5,5,0,5,4,13,2,1
Richarlison,br BRA,FW,27.92,6.0,7,6,1,5,1,0,2,0.0,2,3,1,2,1,8,10,0
Mathys Tel,fr FRA,FW,19.95,5.5,2,1,0,1,1,1,7,14.3,6,2,0,2,0,2,1,1
Brandon Austin,eng ENG,GK,26.25,3.0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,3,0
Sergio Reguilón,es ESP,DF,28.31,2.7,4,5,1,3,0,2,3,66.7,1,4,0,4,4,6,3,0
Will Lankshear,eng ENG,"FW,MF",19.97,1.6,0,0,0,0,0,0,0,NULL,0,2,1,1,1,1,0,0
Dane Scarlett,eng ENG,"FW,MF",21.05,0.7,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0
Alfie Dorrington,eng ENG,DF,19.97,0.2,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
Oyindamola Ajayi,eng ENG,FW,19.28,0.1,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
Callum Olusesi,eng ENG,MF,18.23,0.0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,1,0
