Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,GCA_TypesPassLive,GCA_TypesPassDead,GCA_TypesTO,GCA_TypesSh,GCA_TypesFld,GCA_TypesDef
Pedro Porro,es ESP,DF,25.57,38.3,117,3.48,79,19,7,6,5,1,12,0.36,8,3,1,0,0,0
Dejan Kulusevski,se SWE,"MF,FW",24.96,33.9,145,5.1,109,14,15,4,3,0,13,0.46,11,1,1,0,0,0
Son Heung-min,kr KOR,FW,32.76,33.0,147,5.15,105,9,18,9,6,0,17,0.6,14,0,0,2,1,0
Archie Gray,eng ENG,"DF,MF",19.08,30.6,14,0.6,13,1,0,0,0,0,1,0.04,1,0,0,0,0,0
Dominic Solanke,eng ENG,FW,27.57,30.1,47,1.82,34,0,0,10,2,1,12,0.46,9,0,0,2,1,0
Brennan Johnson,wls WAL,FW,23.88,29.0,51,2.02,33,0,7,6,4,1,8,0.32,6,0,1,0,1,0
James Maddison,eng ENG,MF,28.38,26.6,109,4.47,75,14,8,5,7,0,20,0.82,14,1,4,1,0,0
Pape Matar Sarr,sn SEN,MF,22.57,25.9,51,2.33,42,1,2,3,1,2,8,0.37,5,0,1,1,1,0
Rodrigo Bentancur,uy URU,MF,27.79,25.2,50,2.36,40,0,1,5,1,3,5,0.24,5,0,0,0,0,0
Destiny Udogie,it ITA,DF,22.36,24.4,40,1.74,36,0,1,1,0,2,3,0.13,2,0,0,0,0,1
Radu Drăgușin,ro ROU,DF,23.18,24.2,10,0.52,9,1,0,0,0,0,1,0.05,1,0,0,0,0,0
Guglielmo Vicario,it ITA,GK,28.51,24.0,4,0.17,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lucas Bergvall,se SWE,MF,19.18,22.5,32,1.71,25,2,1,2,1,1,5,0.27,3,0,0,1,1,0
Yves Bissouma,ml MLI,MF,28.61,22.1,24,1.4,21,0,1,0,0,2,0,0.0,0,0,0,0,0,0
Djed Spence,eng ENG,DF,24.67,20.6,28,1.77,23,0,4,1,0,0,4,0.25,3,0,1,0,0,0
Ben Davies,wls WAL,DF,31.96,18.4,14,0.87,12,1,0,0,1,0,0,0.0,0,0,0,0,0,0
Cristian Romero,ar ARG,DF,26.95,16.8,19,1.17,16,0,0,3,0,0,3,0.18,3,0,0,0,0,0
Fraser Forster,eng ENG,GK,37.07,13.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Micky van de Ven,nl NED,DF,23.97,12.4,11,0.9,8,0,0,2,1,0,2,0.16,2,0,0,0,0,0
Timo Werner,de GER,"FW,MF",29.10,10.6,28,3.57,20,3,2,1,2,0,3,0.38,3,0,0,0,0,0
Antonín Kinský,cz CZE,GK,22.08,8.3,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mikey Moore,eng ENG,"FW,MF",17.66,7.1,18,3.29,12,2,2,1,1,0,4,0.73,3,0,0,1,0,0
Kevin Danso,at AUT,DF,26.56,6.9,3,0.62,2,0,0,1,0,0,2,0.41,2,0,0,0,0,0
Wilson Odobert,fr FRA,FW,20.36,6.6,11,1.72,9,0,0,2,0,0,1,0.16,1,0,0,0,0,0
Richarlison,br BRA,FW,27.92,6.0,11,2.07,6,0,0,2,1,2,1,0.19,1,0,0,0,0,0
Mathys Tel,fr FRA,FW,19.95,5.5,6,1.52,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Brandon Austin,eng ENG,GK,26.25,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergio Reguilón,es ESP,DF,28.31,2.7,1,0.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Will Lankshear,eng ENG,"FW,MF",19.97,1.6,2,1.22,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dane Scarlett,eng ENG,"FW,MF",21.05,0.7,3,4.5,3,0,0,0,0,0,2,3.0,2,0,0,0,0,0
Alfie Dorrington,eng ENG,DF,19.97,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oyindamola Ajayi,eng ENG,FW,19.28,0.1,2,18.0,2,0,0,0,0,0,1,9.0,1,0,0,0,0,0
Callum Olusesi,eng ENG,MF,18.23,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
