Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Pedro Porro,es ESP,DF,25.57,38.3,2706,164,806,1044,874,47,2706,47,21,44.7,23,48.9,1485,6769,3547,74,53,10,32,20,1592,125
Dejan Kulusevski,se SWE,"MF,FW",24.96,33.9,1414,21,172,473,795,174,1414,127,41,32.3,77,60.6,935,6858,3595,136,76,46,98,86,1015,244
Son Heung-min,kr KOR,FW,32.76,33.0,1438,19,142,460,851,157,1435,120,48,40.0,56,46.7,968,6091,3179,120,59,59,37,33,1112,340
Archie Gray,eng ENG,"DF,MF",19.08,30.6,1694,203,802,790,117,3,1694,23,11,47.8,10,43.5,1167,5542,2376,15,15,0,14,20,1237,17
Dominic Solanke,eng ENG,FW,27.57,30.1,753,36,84,342,336,127,753,68,24,35.3,41,60.3,446,2460,1046,38,25,19,79,57,522,103
Brennan Johnson,wls WAL,FW,23.88,29.0,920,21,105,306,521,135,920,52,23,44.2,25,48.1,590,3167,1507,59,24,35,26,20,684,213
James Maddison,eng ENG,MF,28.38,26.6,1750,29,255,824,693,101,1750,94,40,42.6,42,44.7,1225,6217,2877,57,47,29,29,31,1335,106
Pape Matar Sarr,sn SEN,MF,22.57,25.9,1412,43,296,787,354,35,1412,35,13,37.1,19,54.3,933,5475,2272,36,39,7,39,26,1032,67
Rodrigo Bentancur,uy URU,MF,27.79,25.2,1621,108,418,954,264,23,1621,31,18,58.1,11,35.5,990,4522,1858,32,28,5,22,24,1069,43
Destiny Udogie,it ITA,DF,22.36,24.4,1544,65,431,717,414,57,1544,36,15,41.7,16,44.4,871,4717,2590,61,40,15,39,25,943,111
Radu Drăgușin,ro ROU,DF,23.18,24.2,1355,215,714,618,33,13,1355,3,1,33.3,0,0.0,851,4401,2111,7,3,0,15,7,920,2
Guglielmo Vicario,it ITA,GK,28.51,24.0,902,608,885,18,0,0,902,1,1,100.0,0,0.0,634,3044,1794,0,0,0,0,0,560,0
Lucas Bergvall,se SWE,MF,19.18,22.5,1211,47,248,641,345,35,1211,61,32,52.5,25,41.0,759,4587,2049,37,39,4,34,22,811,51
Yves Bissouma,ml MLI,MF,28.61,22.1,1240,80,349,725,180,5,1240,35,13,37.1,19,54.3,769,4563,2006,19,28,0,29,21,858,8
Djed Spence,eng ENG,DF,24.67,20.6,1202,64,403,546,271,26,1202,64,31,48.4,28,43.8,716,4219,2236,49,39,8,24,24,760,69
Ben Davies,wls WAL,DF,31.96,18.4,1331,214,642,599,92,21,1331,3,2,66.7,0,0.0,837,3910,2167,16,18,0,8,4,930,17
Cristian Romero,ar ARG,DF,26.95,16.8,1394,171,602,736,66,22,1394,5,2,40.0,2,40.0,922,4823,2897,14,18,0,7,5,948,3
Fraser Forster,eng ENG,GK,37.07,13.0,403,364,403,0,0,0,403,1,1,100.0,0,0.0,209,952,536,0,0,0,2,0,174,0
Micky van de Ven,nl NED,DF,23.97,12.4,1014,110,497,485,42,10,1014,9,4,44.4,5,55.6,710,3216,1601,8,10,1,5,5,741,1
Timo Werner,de GER,"FW,MF",29.10,10.6,411,10,38,105,276,43,411,25,11,44.0,13,52.0,295,2315,1379,57,31,21,17,7,317,110
Antonín Kinský,cz CZE,GK,22.08,8.3,156,134,154,2,0,0,156,0,0,NULL,0,NULL,97,444,267,1,0,0,0,0,98,0
Mikey Moore,eng ENG,"FW,MF",17.66,7.1,288,4,19,72,200,35,288,33,5,15.2,25,75.8,221,1599,768,27,18,13,14,13,237,75
Kevin Danso,at AUT,DF,26.56,6.9,434,55,225,191,19,7,434,4,3,75.0,1,25.0,304,1420,587,3,2,0,8,0,324,0
Wilson Odobert,fr FRA,FW,20.36,6.6,318,4,38,114,171,36,318,29,12,41.4,15,51.7,223,1689,964,38,23,16,15,16,233,51
Richarlison,br BRA,FW,27.92,6.0,182,10,29,87,70,25,181,10,1,10.0,8,80.0,94,457,200,12,9,7,12,7,119,30
Mathys Tel,fr FRA,FW,19.95,5.5,129,0,13,51,68,17,128,18,4,22.2,12,66.7,94,589,248,8,7,3,9,6,91,17
Brandon Austin,eng ENG,GK,26.25,3.0,89,75,88,1,0,0,89,0,0,NULL,0,NULL,58,242,118,0,0,0,0,0,43,0
Sergio Reguilón,es ESP,DF,28.31,2.7,121,2,28,61,33,3,121,4,2,50.0,0,0.0,64,293,180,4,2,1,1,1,74,10
Will Lankshear,eng ENG,"FW,MF",19.97,1.6,42,1,2,19,22,7,42,0,0,NULL,0,NULL,28,119,44,3,2,2,8,3,29,14
Dane Scarlett,eng ENG,"FW,MF",21.05,0.7,19,1,4,7,8,4,19,0,0,NULL,0,NULL,13,90,35,1,0,0,2,2,12,3
Alfie Dorrington,eng ENG,DF,19.97,0.2,16,0,11,5,0,0,16,0,0,NULL,0,NULL,12,61,26,0,0,0,0,0,13,0
Oyindamola Ajayi,eng ENG,FW,19.28,0.1,6,0,1,1,4,1,6,0,0,NULL,0,NULL,4,28,16,1,0,1,0,0,5,1
Callum Olusesi,eng ENG,MF,18.23,0.0,4,0,2,1,1,0,4,0,0,NULL,0,NULL,2,31,30,1,1,0,0,0,2,0
